status,image_id,image_path,profiling,expected,predicted,correct,error
success,95b3340f-255c-4a57-9b67-ddec6a9e6f54,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00864.png,"{'skeletonization_time_ms': 45.853917, 'contour_analysis_time_ms': 1108.112959, 'classification_time_ms': 671.273959}",0,1,False,
success,68ee04b7-fcfe-47c1-98ec-c2cebef9ae8e,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00045.png,"{'skeletonization_time_ms': 77.362709, 'contour_analysis_time_ms': 835.47775, 'classification_time_ms': 398.248875}",0,6,False,
success,e125ee40-0df4-4832-874f-00fa35cd251e,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00442.png,"{'skeletonization_time_ms': 40.278792, 'contour_analysis_time_ms': 583.497751, 'classification_time_ms': 1414.101501}",0,6,False,
success,24268269-c5e8-462e-8e3e-2def5243a959,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00866.png,"{'skeletonization_time_ms': 29.345458, 'contour_analysis_time_ms': 326.697167, 'classification_time_ms': 44.745001}",0,1,False,
success,30e6a405-cbec-45d4-9787-cd6b075f6253,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00331.png,"{'skeletonization_time_ms': 94.581625, 'contour_analysis_time_ms': 935.799251, 'classification_time_ms': 569.902458}",0,not classified,False,
success,5ce8a420-5b45-4de7-b77c-08223c603c26,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00872.png,"{'skeletonization_time_ms': 93.42125, 'contour_analysis_time_ms': 215.963958, 'classification_time_ms': 835.226042}",0,6,False,
success,c33cd317-62de-4902-8987-f8daeb87689a,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00447.png,"{'skeletonization_time_ms': 35.8505, 'contour_analysis_time_ms': 1672.870584, 'classification_time_ms': 1167.433792}",0,6,False,
success,12612874-a024-4a7d-b1f3-b6354df2d93b,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00255.png,"{'skeletonization_time_ms': 40.9805, 'contour_analysis_time_ms': 883.435667, 'classification_time_ms': 372.305917}",0,6,False,
success,e8782940-39a7-4ade-94f0-cb6229125dac,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00726.png,"{'skeletonization_time_ms': 66.776084, 'contour_analysis_time_ms': 552.134084, 'classification_time_ms': 681.834917}",0,6,False,
success,52ef74ca-b084-4eba-be32-83505a664ff6,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00452.png,"{'skeletonization_time_ms': 146.0445, 'contour_analysis_time_ms': 575.155001, 'classification_time_ms': 464.899875}",0,8,False,
error,866d3804-c404-411e-a8d5-b25770a1d02c,/opt/nuclio/shared_storage/mnist_all/1/mnist_test_1_00620.png,,1,,,DLQ
error,2a5f0a69-7cd9-4d40-902f-4a70eb8d179a,/opt/nuclio/shared_storage/mnist_all/1/mnist_test_1_00609.png,,1,,,DLQ
error,075dbcaf-86c9-4467-83ff-c3c49d468520,/opt/nuclio/shared_storage/mnist_all/1/mnist_test_1_00745.png,,1,,,DLQ
success,f28007c3-2562-49f2-8426-9da2e73e6dfd,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00083.png,"{'skeletonization_time_ms': 41.637917, 'contour_analysis_time_ms': 333.572333, 'classification_time_ms': 383.114375}",0,9,False,
error,c430f8a8-54f4-46c6-9690-f7fc444c301a,/opt/nuclio/shared_storage/mnist_all/1/mnist_test_1_00657.png,,1,,,DLQ
success,ec4fc9dc-5815-4d79-878b-889e634e99d8,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00653.png,"{'skeletonization_time_ms': 92.642542, 'contour_analysis_time_ms': 522.244542, 'classification_time_ms': 292.759001}",0,3,False,
error,fdf326c0-85f9-4db6-a6ce-cb162935ee0f,/opt/nuclio/shared_storage/mnist_all/1/mnist_test_1_00656.png,,1,,,DLQ
success,f0df69ca-d189-4887-bec2-a0b082cc448c,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00295.png,"{'skeletonization_time_ms': 127.935958, 'contour_analysis_time_ms': 614.018417, 'classification_time_ms': 393.3545}",0,6,False,
error,b8f5d4d3-14da-41ca-a78a-52c1002656a5,/opt/nuclio/shared_storage/mnist_all/1/mnist_test_1_00905.png,,1,,,DLQ
success,54b1fb3f-a73c-4a9f-827a-90edf99206e3,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00651.png,"{'skeletonization_time_ms': 96.59325, 'contour_analysis_time_ms': 554.429917, 'classification_time_ms': 382.614583}",0,6,False,
error,92357f42-471f-4c5f-a4d7-487ccdb86eab,/opt/nuclio/shared_storage/mnist_all/1/mnist_test_1_00648.png,,1,,,DLQ
success,9e440aba-2d22-44e0-9053-492367b7c4d0,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00691.png,"{'skeletonization_time_ms': 103.557209, 'contour_analysis_time_ms': 373.021583, 'classification_time_ms': 376.981834}",0,6,False,
success,3b51b1ad-e5ca-4cdb-b1ad-4faeb0729741,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00145.png,"{'skeletonization_time_ms': 94.737875, 'contour_analysis_time_ms': 859.157042, 'classification_time_ms': 20.627542}",0,1,False,
success,961793ba-1f9e-4c7f-bf7f-06cc262f2320,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00024.png,"{'skeletonization_time_ms': 71.267667, 'contour_analysis_time_ms': 408.355917, 'classification_time_ms': 72.536}",0,1,False,
success,7c706f30-062f-4ca4-a3ed-2000c8679415,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00634.png,"{'skeletonization_time_ms': 58.927292, 'contour_analysis_time_ms': 601.130959, 'classification_time_ms': 365.336084}",0,6,False,
success,2b04f874-71d4-4f8f-8832-e87b55a97763,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00424.png,"{'skeletonization_time_ms': 41.28125, 'contour_analysis_time_ms': 362.456584, 'classification_time_ms': 472.790334}",0,6,False,
success,de3cfe9c-51ad-4058-978a-a241e3594f77,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00191.png,"{'skeletonization_time_ms': 62.8455, 'contour_analysis_time_ms': 407.049777, 'classification_time_ms': 397.168167}",0,6,False,
success,6d3721ed-5d4a-4cb0-a09a-1b0cf2d3393d,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00815.png,"{'skeletonization_time_ms': 142.931166, 'contour_analysis_time_ms': 425.183458, 'classification_time_ms': 475.078459}",0,6,False,
success,fc797523-2108-42ec-9424-2272bba946f6,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00334.png,"{'skeletonization_time_ms': 57.066, 'contour_analysis_time_ms': 394.603917, 'classification_time_ms': 572.317959}",0,6,False,
success,6050e8c9-e861-4128-a088-e5ccd2508be5,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00430.png,"{'skeletonization_time_ms': 57.474333, 'contour_analysis_time_ms': 451.921334, 'classification_time_ms': 524.515792}",0,6,False,
success,3d7cfea8-7fe2-46e3-9bdb-bbf169c5518b,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00626.png,"{'skeletonization_time_ms': 50.880333, 'contour_analysis_time_ms': 358.225083, 'classification_time_ms': 352.83325}",0,6,False,
success,c31dc21d-bb0c-45d6-b54d-fda441f16b84,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00351.png,"{'skeletonization_time_ms': 75.505375, 'contour_analysis_time_ms': 734.868917, 'classification_time_ms': 324.254334}",0,3,False,
error,1ce5bda2-3e6b-478c-bc8f-b301b7b87c2e,/opt/nuclio/shared_storage/mnist_all/2/mnist_test_2_00601.png,,2,,,DLQ
success,c22113fe-dd63-425f-afbc-3f74a1821712,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00964.png,"{'skeletonization_time_ms': 118.891708, 'contour_analysis_time_ms': 343.476792, 'classification_time_ms': 302.155042}",0,6,False,
success,95a8f726-0151-46a5-a048-9c264a562062,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00578.png,"{'skeletonization_time_ms': 58.34825, 'contour_analysis_time_ms': 250.251417, 'classification_time_ms': 460.213458}",0,6,False,
success,1f21e0f2-6318-412d-983a-665d5cc30beb,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00782.png,"{'skeletonization_time_ms': 48.912375, 'contour_analysis_time_ms': 381.799417, 'classification_time_ms': 36.473292}",0,1,False,
success,2ff78375-4046-4379-b1c0-d8a3d7451c1a,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00236.png,"{'skeletonization_time_ms': 70.7395, 'contour_analysis_time_ms': 1905.018793, 'classification_time_ms': 377.119792}",0,3,False,
success,01d40ea0-35a8-4906-8e3b-6f67606b96ea,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00807.png,"{'skeletonization_time_ms': 61.813917, 'contour_analysis_time_ms': 625.168125, 'classification_time_ms': 343.817417}",0,6,False,
success,017673b1-3033-4473-a87b-8f364d267c34,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00009.png,"{'skeletonization_time_ms': 50.013917, 'contour_analysis_time_ms': 336.345583, 'classification_time_ms': 10.392417}",0,1,False,
success,a3b029ff-f81d-460c-a862-318b8d14e645,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00633.png,"{'skeletonization_time_ms': 88.539625, 'contour_analysis_time_ms': 445.279584, 'classification_time_ms': 300.741876}",0,6,False,
success,43763f80-9e6b-48f5-bbc9-58968d9721b0,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00020.png,"{'skeletonization_time_ms': 59.398375, 'contour_analysis_time_ms': 401.467625, 'classification_time_ms': 546.82225}",0,6,False,
success,4907f313-3b28-4c28-b282-677e5f6abece,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00340.png,"{'skeletonization_time_ms': 94.601084, 'contour_analysis_time_ms': 368.23625, 'classification_time_ms': 436.466959}",0,6,False,
success,bae1cc85-4730-4464-9ce2-f2a4c0eb8f8d,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00552.png,"{'skeletonization_time_ms': 349.250125, 'contour_analysis_time_ms': 448.111125, 'classification_time_ms': 454.121751}",0,6,False,
success,d16166e2-c96c-43b5-8f87-b1f6eebb7cef,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00369.png,"{'skeletonization_time_ms': 68.350041, 'contour_analysis_time_ms': 302.731917, 'classification_time_ms': 396.91025}",0,6,False,
success,9cf4c147-619b-4b13-825b-f15961d35b3f,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00979.png,"{'skeletonization_time_ms': 40.213667, 'contour_analysis_time_ms': 796.16775, 'classification_time_ms': 474.257834}",0,6,False,
success,b9c61907-0737-4ea8-bd97-2a9ddd9a0bf1,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00553.png,"{'skeletonization_time_ms': 107.123083, 'contour_analysis_time_ms': 318.820208, 'classification_time_ms': 616.524792}",0,6,False,
success,5df629b1-682b-4ce0-a2fb-96b05f6eea90,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00372.png,"{'skeletonization_time_ms': 49.72825, 'contour_analysis_time_ms': 503.413084, 'classification_time_ms': 395.752376}",0,6,False,
success,8ed37aa6-aa27-4ebc-906f-3d5c259fc097,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00209.png,"{'skeletonization_time_ms': 67.082375, 'contour_analysis_time_ms': 883.744709, 'classification_time_ms': 707.504667}",0,6,False,
success,daba9513-514f-429b-af46-55113a18e2f2,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00377.png,"{'skeletonization_time_ms': 83.717083, 'contour_analysis_time_ms': 363.162709, 'classification_time_ms': 41.433792}",0,1,False,
success,4a7ff996-cc69-4e6d-a063-3a0b35aa0eeb,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00417.png,"{'skeletonization_time_ms': 49.344541, 'contour_analysis_time_ms': 596.010625, 'classification_time_ms': 442.530334}",0,6,False,
success,fbbe0c3c-5018-49c5-8fe4-cb43f1fd0da9,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00808.png,"{'skeletonization_time_ms': 44.6295, 'contour_analysis_time_ms': 437.5525, 'classification_time_ms': 483.986542}",0,9,False,
success,e4327c38-b1f8-4339-afc2-69d3a5993750,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00760.png,"{'skeletonization_time_ms': 38.476417, 'contour_analysis_time_ms': 557.795334, 'classification_time_ms': 20.572416}",0,1,False,
error,2c358812-2107-4e22-9af2-999a394da9f2,/opt/nuclio/shared_storage/mnist_all/3/mnist_test_3_00582.png,,3,,,DLQ
success,32718138-334b-42dd-8efd-b2a800087c5f,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00348.png,"{'skeletonization_time_ms': 109.700292, 'contour_analysis_time_ms': 503.011069, 'classification_time_ms': 818.166876}",0,8,False,
