image_path,class,structure
mnist_all/0/mnist_test_0_00000.png,0,complete
mnist_all/0/mnist_test_0_00001.png,0,complete
mnist_all/0/mnist_test_0_00002.png,0,complete
mnist_all/0/mnist_test_0_00003.png,0,incomplete
mnist_all/0/mnist_test_0_00004.png,0,complete
mnist_all/0/mnist_test_0_00005.png,0,complete
mnist_all/0/mnist_test_0_00006.png,0,complete
mnist_all/0/mnist_test_0_00007.png,0,complete
mnist_all/0/mnist_test_0_00008.png,0,complete
mnist_all/0/mnist_test_0_00009.png,0,complete
mnist_all/0/mnist_test_0_00010.png,0,complete
mnist_all/0/mnist_test_0_00011.png,0,complete
mnist_all/0/mnist_test_0_00012.png,0,complete
mnist_all/0/mnist_test_0_00013.png,0,complete
mnist_all/0/mnist_test_0_00014.png,0,complete
mnist_all/0/mnist_test_0_00015.png,0,complete
mnist_all/0/mnist_test_0_00016.png,0,complete
mnist_all/0/mnist_test_0_00017.png,0,complete
mnist_all/0/mnist_test_0_00018.png,0,complete
mnist_all/0/mnist_test_0_00019.png,0,incomplete
mnist_all/0/mnist_test_0_00020.png,0,complete
mnist_all/0/mnist_test_0_00021.png,0,complete
mnist_all/0/mnist_test_0_00022.png,0,complete
mnist_all/0/mnist_test_0_00023.png,0,incomplete
mnist_all/0/mnist_test_0_00024.png,0,complete
mnist_all/0/mnist_test_0_00025.png,0,complete
mnist_all/0/mnist_test_0_00026.png,0,complete
mnist_all/0/mnist_test_0_00027.png,0,incomplete
mnist_all/0/mnist_test_0_00028.png,0,incomplete
mnist_all/0/mnist_test_0_00029.png,0,complete
mnist_all/0/mnist_test_0_00030.png,0,complete
mnist_all/0/mnist_test_0_00031.png,0,complete
mnist_all/0/mnist_test_0_00032.png,0,incomplete
mnist_all/0/mnist_test_0_00033.png,0,complete
mnist_all/0/mnist_test_0_00034.png,0,complete
mnist_all/0/mnist_test_0_00035.png,0,complete
mnist_all/0/mnist_test_0_00036.png,0,incomplete
mnist_all/0/mnist_test_0_00037.png,0,incomplete
mnist_all/0/mnist_test_0_00038.png,0,complete
mnist_all/0/mnist_test_0_00039.png,0,complete
mnist_all/0/mnist_test_0_00040.png,0,incomplete
mnist_all/0/mnist_test_0_00041.png,0,complete
mnist_all/0/mnist_test_0_00042.png,0,complete
mnist_all/0/mnist_test_0_00043.png,0,complete
mnist_all/0/mnist_test_0_00044.png,0,incomplete
mnist_all/0/mnist_test_0_00045.png,0,complete
mnist_all/0/mnist_test_0_00046.png,0,incomplete
mnist_all/0/mnist_test_0_00047.png,0,complete
mnist_all/0/mnist_test_0_00048.png,0,incomplete
mnist_all/0/mnist_test_0_00049.png,0,complete
mnist_all/0/mnist_test_0_00050.png,0,incomplete
mnist_all/0/mnist_test_0_00051.png,0,complete
mnist_all/0/mnist_test_0_00052.png,0,complete
mnist_all/0/mnist_test_0_00053.png,0,complete
mnist_all/0/mnist_test_0_00054.png,0,incomplete
mnist_all/0/mnist_test_0_00055.png,0,incomplete
mnist_all/0/mnist_test_0_00056.png,0,complete
mnist_all/0/mnist_test_0_00057.png,0,complete
mnist_all/0/mnist_test_0_00058.png,0,complete
mnist_all/0/mnist_test_0_00059.png,0,complete
mnist_all/0/mnist_test_0_00060.png,0,complete
mnist_all/0/mnist_test_0_00061.png,0,complete
mnist_all/0/mnist_test_0_00062.png,0,incomplete
mnist_all/0/mnist_test_0_00063.png,0,complete
mnist_all/0/mnist_test_0_00064.png,0,complete
mnist_all/0/mnist_test_0_00065.png,0,incomplete
mnist_all/0/mnist_test_0_00066.png,0,complete
mnist_all/0/mnist_test_0_00067.png,0,complete
mnist_all/0/mnist_test_0_00068.png,0,complete
