status,image_id,image_path,profiling,expected,predicted,correct,error
success,502f1a2c-58ce-4eac-bbce-5422f20cbcc4,/opt/nuclio/shared_storage/test/0/mnist_0_00953.png,"{'skeletonization_time_ms': 55.746208, 'contour_analysis_time_ms': 1559.485084, 'classification_time_ms': 678.377403}",0,3,False,
success,0eeae327-9298-43fc-a3ef-055504019acb,/opt/nuclio/shared_storage/test/0/mnist_0_00370.png,"{'skeletonization_time_ms': 70.182625, 'contour_analysis_time_ms': 2017.091445, 'classification_time_ms': 353.569875}",0,5,False,
success,ab7f4d67-7376-4eb4-9318-4fc4b8c15c6d,/opt/nuclio/shared_storage/test/0/mnist_0_test_00120.png,"{'skeletonization_time_ms': 67.853334, 'contour_analysis_time_ms': 797.055084, 'classification_time_ms': 1029.940292}",0,9,False,
success,500b6d09-0189-4e2a-a0ee-9f674388bdcb,/opt/nuclio/shared_storage/test/0/mnist_0_00204.png,"{'skeletonization_time_ms': 72.536542, 'contour_analysis_time_ms': 1344.239084, 'classification_time_ms': 223.726625}",0,1,False,
success,6c80115f-31ff-4294-9b39-74d8772933c0,/opt/nuclio/shared_storage/test/0/mnist_0_00562.png,"{'skeletonization_time_ms': 57.365958, 'contour_analysis_time_ms': 792.450792, 'classification_time_ms': 382.863625}",0,7,False,
success,670bb297-eb02-403f-99a8-200602c3b899,/opt/nuclio/shared_storage/test/0/mnist_0_00205.png,"{'skeletonization_time_ms': 50.509125, 'contour_analysis_time_ms': 1082.719042, 'classification_time_ms': 745.618251}",0,7,False,
success,2825430a-a493-42ee-a51b-5efa6158e82e,/opt/nuclio/shared_storage/test/0/mnist_0_00402.png,"{'skeletonization_time_ms': 60.873209, 'contour_analysis_time_ms': 867.766542, 'classification_time_ms': 624.830875}",0,6,False,
success,24be414e-22f2-4a61-8bdc-4845fcb82c03,/opt/nuclio/shared_storage/test/0/mnist_0_00403.png,"{'skeletonization_time_ms': 269.656583, 'contour_analysis_time_ms': 920.771875, 'classification_time_ms': 534.527584}",0,not classified,False,
success,c782dbf4-d3c9-4f22-9e7c-710812aa758e,/opt/nuclio/shared_storage/test/0/mnist_0_00947.png,"{'skeletonization_time_ms': 55.700375, 'contour_analysis_time_ms': 933.305126, 'classification_time_ms': 795.440084}",0,6,False,
success,a5b69444-1036-47a4-b49a-480e42f928c9,/opt/nuclio/shared_storage/test/0/mnist_0_00577.png,"{'skeletonization_time_ms': 63.532166, 'contour_analysis_time_ms': 484.6755, 'classification_time_ms': 342.390917}",0,5,False,
error,0528b2f4-4180-4972-9bad-f2525f42db1a,/opt/nuclio/shared_storage/test/0/mnist_0_00043.png,,0,,,DLQ
success,84cc75c6-b4f8-4b42-8eda-45a000a80958,/opt/nuclio/shared_storage/test/0/mnist_0_00563.png,"{'skeletonization_time_ms': 49.024083, 'contour_analysis_time_ms': 562.760917, 'classification_time_ms': 248.057792}",0,7,False,
success,9fc45562-9290-4bc8-9dac-7000eb439fc6,/opt/nuclio/shared_storage/test/0/mnist_0_00373.png,"{'skeletonization_time_ms': 110.327625, 'contour_analysis_time_ms': 975.548334, 'classification_time_ms': 506.288334}",0,7,False,
success,96ed3431-18a7-4539-a073-f972aee44120,/opt/nuclio/shared_storage/test/0/mnist_0_00615.png,"{'skeletonization_time_ms': 85.406625, 'contour_analysis_time_ms': 1042.272334, 'classification_time_ms': 733.338751}",0,6,False,
success,650238f5-6ccb-420a-9129-c7aed1e85f3e,/opt/nuclio/shared_storage/test/0/mnist_0_00398.png,"{'skeletonization_time_ms': 54.299875, 'contour_analysis_time_ms': 581.688251, 'classification_time_ms': 421.062875}",0,3,False,
success,0412a9b9-0df2-4be8-b430-52b0c74b13ad,/opt/nuclio/shared_storage/test/0/mnist_0_00401.png,"{'skeletonization_time_ms': 203.211167, 'contour_analysis_time_ms': 839.237042, 'classification_time_ms': 478.496195}",0,6,False,
success,fe2e91d9-75ca-4629-8f43-9f47ab49692a,/opt/nuclio/shared_storage/test/0/mnist_0_00762.png,"{'skeletonization_time_ms': 97.201834, 'contour_analysis_time_ms': 470.721959, 'classification_time_ms': 1530.128986}",0,9,False,
success,098699ae-d632-418f-a2ad-daca964b651a,/opt/nuclio/shared_storage/test/0/mnist_0_00612.png,"{'skeletonization_time_ms': 100.226375, 'contour_analysis_time_ms': 849.309125, 'classification_time_ms': 74.414333}",0,not classified,False,
error,7eb614b7-615a-4fc8-a8f5-3130f04c8648,/opt/nuclio/shared_storage/test/1/mnist_1_00316.png,,1,,,DLQ
success,c5ac8be1-8e65-44a9-a3d9-8bc0a204a8c4,/opt/nuclio/shared_storage/test/0/mnist_0_00944.png,"{'skeletonization_time_ms': 84.051583, 'contour_analysis_time_ms': 454.464917, 'classification_time_ms': 463.431}",0,7,False,
error,89523a31-e109-46f5-b7e0-8c44f96ebbd8,/opt/nuclio/shared_storage/test/1/mnist_1_00403.png,,1,,,DLQ
success,14ae7a39-75b0-421a-b38c-8826afe802b5,/opt/nuclio/shared_storage/test/0/mnist_0_00831.png,"{'skeletonization_time_ms': 85.125167, 'contour_analysis_time_ms': 876.394958, 'classification_time_ms': 923.283584}",0,6,False,
