status,image_id,image_path,profiling,expected,predicted,correct,error
success,a50ab64e-7617-4f05-8b56-729924cab582,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00870.png,"{'skeletonization_time_ms': 51.927292, 'contour_analysis_time_ms': 1325.4645, 'classification_time_ms': 171.703792}",0,not classified,False,
success,10620708-6196-459a-ae31-3f63c27a0a43,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00864.png,"{'skeletonization_time_ms': 191.112417, 'contour_analysis_time_ms': 1634.246459, 'classification_time_ms': 107.621625}",0,1,False,
success,9392bc4c-dfc7-47cc-96b5-57d1e44b63c3,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00045.png,"{'skeletonization_time_ms': 79.07075, 'contour_analysis_time_ms': 1016.796792, 'classification_time_ms': 676.197042}",0,9,False,
success,0aab55ec-f3b6-44da-a3af-d0b6389c84d6,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00535.png,"{'skeletonization_time_ms': 88.974292, 'contour_analysis_time_ms': 2330.462252, 'classification_time_ms': 721.714458}",0,6,False,
success,47ee8b1c-5491-4fad-88ca-f9fd04fe64fa,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00118.png,"{'skeletonization_time_ms': 196.386209, 'contour_analysis_time_ms': 691.627584, 'classification_time_ms': 1964.263168}",0,2,False,
success,effbd80c-74a0-4c60-b22e-2aa95b47ad11,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00442.png,"{'skeletonization_time_ms': 109.653125, 'contour_analysis_time_ms': 1489.584293, 'classification_time_ms': 664.763917}",0,6,False,
success,ff0cb1c5-a6f6-42e4-ae9d-164c25465a96,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00447.png,"{'skeletonization_time_ms': 119.877375, 'contour_analysis_time_ms': 706.995751, 'classification_time_ms': 622.474}",0,6,False,
success,e054b083-f971-4ed5-9fe5-563e4e671b3e,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00872.png,"{'skeletonization_time_ms': 76.885667, 'contour_analysis_time_ms': 742.616209, 'classification_time_ms': 773.188125}",0,6,False,
success,c4e2759b-a716-4292-8876-11664ff905cc,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00331.png,"{'skeletonization_time_ms': 68.767292, 'contour_analysis_time_ms': 1247.263293, 'classification_time_ms': 1602.698209}",0,not classified,False,
success,0bd7c668-473d-4466-bf16-7dfbca57a0e2,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00866.png,"{'skeletonization_time_ms': 79.96125, 'contour_analysis_time_ms': 998.582126, 'classification_time_ms': 49.13925}",0,1,False,
